 ,Inaproc,KOTA/KAB PENGIRIM,NAMA SEKOLAH RAKYAT,Penerima,ALAMAT,KOTA/KAB PENERIMA,Provinsi,RomBel,cek,cek,Tahap,Tahap,cek,Status Pengiriman,Waktu Pengiriman Manual Kemensos,Waktu Pengiriman JNE,Waktu Pengiriman JNE 2,Foto Bingkai Presiden & Wapres,Pengiriman JNE,Jam Dinding,Lambang Garuda,Teko Air Minum,Pengiriman JNE,Tempat Sampah Ruangan,Pengiriman JNE,Pengiriman JNE,Termos Nasi,Pengiriman JNE,Tempat Hidangan Lauk,Pengiriman JNE,Tempat Tisu,,,,,
37,,Jakarta,"Sekolah Rakyat Menengah Atas 36
Bojonegoro",Pusdiklat BKPP Kabupaten Bojonegoro,"Pusdiklat BKPP Kabupaten Bojonegoro, Kedungrejo Kidul, Ngumpak Dalem, Kec. Dander, Kabupaten Bojonegoro, Jawa Timur 62171",Kab. Bojonegoro,Jawa Timur,4,,,1B,,,,,9/17/25,10/7/25,9,,7,9,49,,9,,,-,-,-,-,-,,,,,
38,,Jakarta,"Sekolah Rakyat Menengah Atas 37
Gresik",UPT SMP Negeri 30 Gresik,"Jl Kanjeng Sepuh, Desa Mriyunan Kecamatan Sidayu Kabupaten Gresik Kode Pos 61153",Kab. Gresik,Jawa Timur,3,,,1B,,,,,9/17/25,10/7/25,8,,6,8,49,,8,,,-,-,-,-,-,,,,,
39,,Jakarta,"Sekolah Rakyat
Terintegrasi 5 Ponorogo",UPT Sentra Industri,"Jl. Trunojoyo No.200, Area Sawah, Tambakbayan, Kec. Ponorogo, Kabupaten Ponorogo, Jawa Timur 63419",Kab. Ponorogo,Jawa Timur,5,,,1B,,,,,9/17/25,10/7/25,10,,8,10,49,,10,,,-,-,-,-,-,,,,,
40,,Jakarta,"Sekolah Rakyat Menengah Pertama 29
Pamekasan",EKS. Akademi Keperawatan Pemkab Pamekasan,"Eks AKPER, Jl. Jokotole Indah (Belakang SMAN 2), Tlanakan, Pamekasan, Jawa Timur",Kab. Pamekasan,Jawa Timur,2,,,1B,,,,,9/17/25,10/7/25,7,,6,7,49,,8,,,-,-,-,-,-,,,,,
41,,Jakarta,"Sekolah Rakyat
Terintegrasi 6 Jember",Balai Pengembangan Pendidikan,"Balai Pengembangan Pendidikan, Jl. DR. Subandi No. 29, Kreongan Atas, Jemberlor, Kec. Patrang, Kabupaten Jember, Jawa Timur 68118.",Kab. Jember,Jawa Timur,4,,,1B,,,,,9/17/25,10/7/25,9,,7,9,49,,9,,,-,-,-,-,-,,,,,
42,,Jakarta,"Sekolah Rakyat
Terintegrasi 23 Katingan",Hotel Katingan,"Hotel Katingan, Jl. Tjilik Riwut, Depan Kantor Bupati Katingan, Kalimantan Tengah",Kab. Katingan,Kalimantan Tengah,4,,,1B,,,,,9/17/25,10/7/25,9,,7,9,49,,9,,,-,-,-,-,-,,,,,
43,,Jakarta,"Sekolah Rakyat
Terintegrasi 20
Palu",BPSDM Kota Palu,"Jl. S.Parman Kota Palu, Sulawesi Tengah 94234",Kota Palu,Sulawesi Tengah,8,,,1B,,,,,9/17/25,10/7/25,13,,12,13,49,,13,,,-,-,-,-,-,,,,,
44,,Jakarta,"Sekolah Rakyat Menengah Atas 38
Lombok Timur",Eks. Gedung Akper,"Eks. Gedung Akper, Jl. Soekarno Hatta, Rumbuk, Kec. Sakra, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83671",Kab. Lombok Timur,Nusa Tenggara Barat,5,,,1B,,,,,9/17/25,10/7/25,10,,8,10,49,,10,,,-,-,-,-,-,,,,,
45,,Jakarta,Sekolah Rakyat Terintegrasi 37 Serang,Balai Pelatihan Vokasi Dan Produktivitas Serang,"Jl. Jaksa Agung R. Soeprapto No.Km.3, Karundang, Kec. Cipocok Jaya, Kota Serang, Banten 42118",SERANG,BANTEN,4,,,1C,,,,,,,,,,9,,,,,,,,,,,,,,,
46,,Jakarta,Sekolah Rakyat Terintegrasi 36 Lebak,BLK Dinas tenaga kerja kab. Lebak,Jl. Raya Cipanas Km. 9. Desa Pajagan Kec  Sajira Kab. Lebak,Kab. Lebak,BANTEN,4,,,1C,,,,,,,,,,9,,,,,,,,,,,,,,,
47,,Jakarta,Sekolah Rakyat Terintegrasi 41 Tasikmalaya,GEDUNG SEKOLAH DASAR NEGERI 2 RAHAYU TASIKMALAYA,"Jalan Suaka Kelurahan Sambongpari, Kecamatan Mangkubumi, Kota Tasikmalaya",KOTA TASIKMALAYA,JAWA BARAT,3,,,1C,,,,,,,,,,8,,,,,,,,,,,,,,,
48,,Jakarta,Sekolah Rakyat Terintegrasi 39 Garut,BLK Dinas Tenaga Kerja dan Transmigrasi Kab. Garut ,"Jl. Raya Samarang No. KM 4, Desa Cinta Rakyat, Kec. Samarang, Kabupaten Garut - Jawa Barat",KAB GARUT,JAWA BARAT,3,,,1C,,,,,,,,,,8,,,,,,,,,,,,,,,
49,,Jakarta,Sekolah Rakyat Menengah Pertama 34 Majalengka,SKB Majalengka,"JL. K.H. ABDUL HALIM NO. 107, MAJALENGKA KULON, KEC. MAJALENGKA",KAB MAJALENGKA,JAWA BARAT,4,,,1C,,,,,,,,,,9,,,,,,,,,,,,,,,
50,,Jakarta,Sekolah Rakyat Terintegrasi 38 Kuningan,SMPN 6 Kuningan,Jalan pramuka Gang Tunas III No.45 Kuningan 45512,KAB KUNINGAN,JAWA BARAT,4,,,1C,,,,,,,,,,9,,,,,,,,,,,,,,,
51,,Jakarta,Sekolah Rakyat Terintegrasi 40 Indramayu,BLK Indramayu,"Jl. Gatot Subroto No.1, Kepandean, Kec Indramayu Kab Indramayu, Jawa Barat",KAB INDRAMAYU,JAWA BARAT,4,,,1C,,,,,,,,,,9,,,,,,,,,,,,,,,
52,,Jakarta,Sekolah Rakyat Terintegrasi 78 Sragen,Balai Latihan Kerja (BLK) UPTD BKPSDM Kabupaten Sragen,"Jl. RA Kartini No. 160, Sungkul, Plumbungan, Kec. Karangmalang, Kab. Sragen, Jawa Tengah 57222",Kab. Sragen,JAWA TENGAH,2,,,1C,,,,,,,,,,7,,,,,,,,,,,,,,,
53,,Jakarta,Sekolah Rakyat Terintegrasi 44 Kebumen,Gedung SKB Kabupaten Kebumen,"Jl. Kenanga Gg. Mawar No.474, Pejagoan, Kec. Kebumen, Kabupaten Kebumen, Jawa Tengah",Kab Kebumen,JAWA TENGAH,4,,,1C,,,,,,,,,,9,,,,,,,,,,,,,,,
54,,Jakarta,Sekolah Rakyat Dasar 1 Jepara,BLK Kab. Jepara ,"Jl. Pecangaan - Batealit No.km. 15, Rw. 2, Pecangaan Kulon,
 Kec. Pecangaan, Kabupaten Jepara, Jawa Tengah 59422",KAB. JEPARA,JAWA TENGAH,3,,,1C,,,,,,,,,,8,,,,,,,,,,,,,,,
55,,Jakarta,Sekolah Rakyat Terintegrasi 45 Semarang,Balai Pelatihan Vokasi Dan Produktivitas Semarang,"Jl. Brigjen Sudiarto No.118, Palebon, Kec. Pedurungan, Kota Semarang, Jawa Tengah",Kota Semarang,JAWA TENGAH,4,,,1C,,,,,,,,,,9,,,,,,,,,,,,,,,
56,,Jakarta,Sekolah Rakyat Dasar 2 Surakarta,Balai Pelatihan Vokasi Dan Produktivitas Surakarta,"BPVP SURAKARTA, Jl. Bhayangkara No.38, Panularan, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57149",Kota Surakarta,JAWA TENGAH,4,,,1C,,,,,,,,,,9,,,,,,,,,,,,,,,
57,,Jakarta,Sekolah Rakyat Menengah Atas 46 Pacitan,Unit Pelaksana Teknis Daerah Balai Latihan Kerja Pacitan,"Lingkungan, Jaten, Sidoharjo, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63514",Kab. Pacitan,JAWA TIMUR,4,,,1C,,,,,,,,,,9,,,,,,,,,,,,,,,
58,,Jakarta,Sekolah Rakyat Terintegrasi 48 Pasuruan,Balai Latihan Kerja Kabupaten Pasuruan,"Unit Pelaksana Teknis Balai Latihan Kerja Pasuruan Jl. Pahlawan Sunaryo No.96S, Pateban, Kb. Waris, Kec. Pandaan, Pasuruan, Jawa Timur,67156",Kab. Pasuruan,JAWA TIMUR,4,,,1C,,,,,,,,,,9,,,,,,,,,,,,,,,
59,,Jakarta,Sekolah Rakyat Terintegrasi 46 Banyuwangi,Balai Pelatihan Vokasi Dan Produktivitas Banyuwangi,"Dusun Krajan, Kedungrejo, Kec. Muncar, Kabupaten Banyuwangi, Jawa Timur 68472",Kab. Banyuwangi,JAWA TIMUR,4,,,1C,,,,,,,,,,9,,,,,,,,,,,,,,,
60,,Jakarta,Sekolah Rakyat Terintegrasi 51 Bangkalan,Bekas Balai Diklat Kab. Bangkalan (belakang taman makam pahlawan),Jl. Soekarno Hatta No. 38. Bangkalan,Kab. Bangkalan,JAWA TIMUR,4,,,1C,,,,,,,,,,9,,,,,,,,,,,,,,,
61,,Jakarta,Sekolah Rakyat Terintegrasi 50 Trenggalek,BLK Kab. Trenggalek,"Dusun Jonogaran, kel 
 Ngantru, Kec. Trenggalek",Kab. Trenggalek,JAWA TIMUR,3,,,1C,,,,,,,,,,8,,,,,,,,,,,,,,,
62,,Jakarta,Sekolah Rakyat Terintegrasi 47 Malang,UPT BLK SINGOSARI,"JL.Raya Singosari, No 7 Song Song, Ardimulyo, Kec. Singosari, Kab.Malang",Kab. Malang,JAWA TIMUR,4,,,1C,,,,,,,,,,9,,,,,,,,,,,,,,,
63,,Jakarta,Sekolah Rakyat Terintegrasi 49 Sumenep,UPT Sarana Kegiatan Diklat Kab. Sumenep ,Jalan Raya Lenteng Kec. Batuan Kab. Sumenep Jawa Timur,Kab. Sumenep,JAWA TIMUR,4,,,1C,,,,,,,,,,9,,,,,,,,,,,,,,,
64,,Jakarta,Sekolah Rakyat Terintegrasi 28 Subulussalam,Balai Latihan Kerja Subulussalam,"Jl. Raja Tua, Komplek BLK, Lae Oram, Kecamatan Simpang Kiri, Kota Subulussalam, Aceh",Kota Subulussalam,ACEH,4,,,1C,,,,,,,,,,9,,,,,,,,,,,,,,,
65,,Jakarta,Sekolah Rakyat Terintegrasi 27 Aceh Singkil,Gedung Islamic Center Aceh Singkil,"Jl. Raya Penanggalan Singkil, Desa Pangkalan Sulampi, Kecamatan Suro Makmur, Kabupaten Aceh Singkil",Kab. Aceh Singkil,ACEH,4,,,1C,,,,,,,,,,9,,,,,,,,,,,,,,,
66,,Jakarta,Sekolah Rakyat Terintegrasi 29 Tapanuli Selatan,Balai Latihan Kerja Kabupaten Tapanuli Selatan,Jln. Ompu Raja Sori Siharang karang Kec. Padangsidimpuan Hutaimbaru Kota Padangsidimpuan,Kab. Tapanuli Selatan,SUMATERA UTARA,4,,,1C,,,,,,,,,,9,,,,,,,,,,,,,,,
67,,Jakarta,Sekolah Rakyat Menengah Atas 45 Ogan Komering Ulu,GEDUNG EX DIKLAT OGAN KOMERING ULU,"KELURAHAN SEPANCAR LAWANG KULON, KEC BATURAJA TIMUR, OGAN KOMERING ULU, SUMATERA SELATAN. 32152",Kab. Ogan Komering Ulu,SUMATERA SELATAN,4,,,1C,,,,,,,,,,9,,,,,,,,,,,,,,,
68,,Jakarta,Sekolah Rakyat Terintegrasi 31 Palembang,Gedung eks Panti Sosial Rehabilitasi Anak Nusantara Kota Palembang,"Jalan Sosial Km.4,5 Kelurahan Sukabangun Palembang",Kota Palembang,SUMATERA SELATAN,3,,,1C,,,,,,,,,,8,,,,,,,,,,,,,,,
69,,Jakarta,Sekolah Rakyat Terintegrasi 33 Tanjung Pinang,SMP NEGERI 15 TANJUNGPINANG,Jl. Borobudur No 34 Kota Tanjungpinang,Kota Tanjung Pinang,KEPULAUAN RIAU,4,,,1C,,,,,,,,,,9,,,,,,,,,,,,,,,
